instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
INF174KA1WT6,757946,QUALITY30,KOTAKMAMC - QUALITY30,20.82,,,0.01,1.0,EQUITY,,NSE_EQ
INF174KA1VW2,30469,MID150,KOTAKMAMC - MID150,21.79,,,0.01,1.0,EQUITY,,NSE_EQ
INF174KA1VD2,29758,MSCIINDIA,KOTAKMAMC - MSCIINDIA,29.77,,,0.01,1.0,EQUITY,,NSE_EQ
INF174KA1UW4,29944,NIFTY100EW,KOTAKMAMC - NIFTY100EW,33.4,,,0.01,1.0,EQUITY,,NSE_EQ
INF109K1A153,755881,EVIETF,ICICIPRAMC - EVIETF,31.19,,,0.01,1.0,EQUITY,,NSE_EQ
INF109K1A344,757781,TOP15IETF,ICICIPRAMC - TOP15IETF,10.59,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KB15Y7,522,ICICIB22,ICICIPRAMC - BHARATIWIN,112.23,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1134,24404,ABGSEC,BIRLASLAMC - ABGSEC,110.7,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB19F6,8003,SILVER,BIRLASLAMC - SILVER,149.67,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB19D1,24781,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,29.06,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB18T9,14518,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,999.99,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB18D3,23804,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,105.6,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB17D5,13987,ABSLBANETF,BIRLASLAMC - ABSLBANETF,57.37,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB16D7,7339,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,71.47,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB15K4,10690,NIFTYQLITY,BIRLASLAMC - NIFTYQLITY,21.41,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB11D8,6462,TECH,BIRLASLAMC - TECH,36.96,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB10E8,5957,BSLSENETFG,BIRLASLAMC - BSLSENETFG,81.55,,,0.01,1.0,EQUITY,,NSE_EQ
INF209KB10C2,6297,HEALTHY,BIRLASLAMC - HEALTHY,14.84,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K01Z12,3608,AXISHCETF,AXISAMC - AXISHCETF,147.13,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K01Z04,3530,AXISBPSETF,AXISAMC - AXISBPSETF,12.98,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K01Y96,3010,AXISTECETF,AXISAMC - AXISTECETF,375.71,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K01X63,1044,AXISBNKETF,AXISAMC - AXISBNKETF,577.75,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K010Q0,14742,AXSENSEX,AXISAMC - AXSENSEX,83.94,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K01W98,21252,AXISNIFTY,AXISAMC - AXISNIFTY,275.02,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K01W80,20532,AXISGOLD,AXIS MF - AXIS GOLD ETF,100.09,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K011K1,11193,AXISILVER,AXISAMC - AXISILVER,149.16,,,0.01,1.0,EQUITY,,NSE_EQ
INF846K016C7,5732,AXISCETF,AXISAMC - AXISCETF,125.08,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AZD8,22488,NIFITETF,UTIAMC - NIFITETF,357.37,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AZC0,10511,UTINIFTETF,UTIAMC - UTINIFTETF,275.09,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AYX9,18347,NIFMID150,UTIAMC - NIFMID150,216.17,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AYK6,15085,SILVERETF,UTIAMC - SILVERETF,145.12,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AUW9,21478,UTINEXT50,UTIAMC - UTINEXT50,73.39,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AUV1,22440,UTIBANKETF,UTIAMC - UTIBANKETF,57.89,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AUX7,14535,GOLDSHARE,UTI GOLD ETF,100.65,,,0.05,1.0,EQUITY,,NSE_EQ
INF789FB1X58,10515,UTISENSETF,UTIAMC - UTISENSETF,896.71,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1RE3,10761,SILVERADD,DSPAMC - DSPSILVETF,144.34,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1SY9,17616,SENSEXADD,DSPAMC - DSPSENXETF,83.69,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1SX1,17207,ITETFADD,DSPAMC - DSPITETF,36.01,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1SW3,15356,GOLDETFADD,DSPAMC - DSPGOLDETF,116.34,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1QL0,7456,MIDQ50ADD,DSPAMC - DSPQ50ETF,248.97,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1QK2,6606,EQUAL50ADD,DSPAMC - DSPNEWETF,332.92,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1CL0,7451,NIFTY50ADD,DSPAMC - DSPN50ETF,261.51,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1TA7,17576,PVTBANKADD,DSPAMC - DSPPVBKETF,27.77,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1EU7,1927,LIQUIDETF,DSP LIQUID ETF,1000.0,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1UF4,22592,HEALTHADD,DSPAMC - HEALTHADD,145.21,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1UM0,23407,LIQUIDADD,DSPAMC - LIQUIDADD,1093.99,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1VE5,29464,NEXT30ADD,DSPAMC - NEXT30ADD,39.29,,,0.01,1.0,EQUITY,,NSE_EQ
INF740KA1UR9,25171,TOP10ADD,DSPAMC - TOP10ADD,95.98,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01SE6,19933,EGOLD,EDELAMC - EGOLD,119.7,,,0.05,1.0,EQUITY,,NSE_EQ
INF754K01SF3,20257,ESILVER,EDELAMC - ESILVER,149.59,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01LE1,22239,EBBETF0431,EDELAMC - EBBETF0431,1378.68,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01KO2,16253,EBBETF0430,EDELAMC - EBBETF0430,1544.29,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01QX0,13139,EBBETF0433,EDELAMC - EBBETF0433,1255.75,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01OB1,7196,BBETF0432,EDELAMC - BBETF0432,1293.39,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01TE4,25258,EBANKNIFTY,EDELAMC - EBANKNIFTY,56.29,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01TF1,25996,EMULTIMQ,EDELAMC - EMULTIMQ,41.76,,,0.01,1.0,EQUITY,,NSE_EQ
INF754K01TX4,29019,ECAPINSURE,EDELAMC - ECAPINSURE,23.09,,,0.01,1.0,EQUITY,,NSE_EQ
INF579M01BB5,30105,GOLD360,360ONEAMC - GOLD360,121.35,,,0.05,1.0,EQUITY,,NSE_EQ
INF579M01BC3,756150,SILVER360,360ONEAMC - SILVER360,154.82,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1S22,722,SBIETFPB,SBIAMC - SBIETFPB,279.67,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1S14,740,SBIETFIT,SBIAMC - SBIETFIT,377.91,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1X17,5168,SBIETFCON,SBIAMC - SBIETFCON,125.72,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KB1282,24524,SBINEQWETF,SBIAMC - SBINEQWETF,32.37,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KB1217,24366,SBISILVER,SBIAMC - SBISILVER,146.93,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA16D8,17272,SETFGOLD,SBI-ETF GOLD,102.27,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1598,7353,SETFNN50,SBI-ETF NIFTY NEXT 50,730.26,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1580,7361,SETFNIFBK,SBI-ETF NIFTY BANK,575.12,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1FS1,10176,SETFNIF50,SBI-ETF NIFTY 50,267.52,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1JT1,17395,SETF10GILT,SBIAMC - SETF10GILT,258.01,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KA1WX6,7218,SBIETFQLTY,SBIAMC - SBIETFQLTY,223.12,,,0.01,1.0,EQUITY,,NSE_EQ
INF200KB1969,758496,SBILIQETF,SBIAMC - SBILIQETF,1008.66,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC19O8,13198,COMMOIETF,ICICIPRAMC - ICICICOMMO,92.02,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC19V3,5306,FMCGIETF,ICICIPRAMC - ICICIFMCG,58.81,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC19U5,21254,LOWVOLIETF,ICICI PR NIF LW VL 30 ETF,22.19,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC19W1,24861,METALIETF,ICICIPRAMC - METALIETF,10.23,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC18O0,13143,GSEC10IETF,ICICIPRAMC - ICICI10GS,257.54,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC18V5,17808,QUAL30IETF,ICICIPRAMC - ICICIQTY30,21.24,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC18W3,24533,OILIETF,ICICIPRAMC - OILIETF,11.62,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC17V7,22344,ALPL30IETF,ICICIPRAMC - ICICIALPLV,27.3,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC17L8,12578,FINIETF,ICICIPRAMC-ICICIFIN,30.68,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC16X5,25851,VAL30IETF,ICICIPRAMC - VAL30IETF,13.64,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC16V9,30392,NIF100IETF,ICICI PRUD NIFTY 100 ETF,28.54,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC16I6,22365,ITIETF,ICICIPRAMC - ICICITECH,37.78,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1Q72,3626,HEALTHIETF,ICICIPRAMC - ICICIPHARM,148.36,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC11V0,17475,NV20IETF,ICICI PRUDENTIAL NV20 ETF,14.49,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC11W8,17152,MIDCAPIETF,ICICIPRAMC - ICICIM150,22.18,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC10S8,14584,PSUBNKIETF,ICICIPRAMC - PSUBANKICI,76.87,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC10W0,17702,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,17.56,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1V42,6446,CONSUMIETF,ICICIPRAMC - ICICICONSU,126.11,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1V59,3001,BSE500IETF,ICICIPRAMC - ICICI500,39.13,,,0.01,1.0,EQUITY,,NSE_EQ
INF109K012R6,29553,NIFTYIETF,ICICI PRUD NIFTY ETF,281.66,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1KT9,4838,LIQUIDIETF,ICICIPRAMC - ICICILIQ,1000.0,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1Y56,7942,SILVERIETF,ICICIPRAMC - ICICISILVE,149.07,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1NT3,19679,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,102.46,,,0.01,1.0,EQUITY,,NSE_EQ
INF109KC1NS5,4529,NEXT50IETF,ICICIPRAMC - ICICINXT50,72.02,,,0.01,1.0,EQUITY,,NSE_EQ
INF346A01034,4378,SENSEXIETF,ICICI PRUD SENSEX ETF,933.86,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01LK0,757820,GROWWSENX,GROWWAMC - GROWWSENX,89.58,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01LJ2,757422,GROWWMCAP,GROWWAMC - GROWWMCAP,11.23,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01LI4,757814,GROWWNET,GROWWAMC - GROWWNET,10.79,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01LM6,758165,GROWWPOWER,GROWWAMC - GROWWPOWER,10.19,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01LL8,758697,GROWWNIFTY,GROWWAMC - GROWWNIFTY,10.03,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01IW1,25872,GROWWGOLD,GROWWAMC - GROWWGOLD,117.79,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01IP5,25447,GROWWLIQID,GROWWAMC - GROWWLIQID,106.04,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01IO8,25758,GROWWDEFNC,GROWWAMC - GROWWDEFNC,81.2,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01IH2,24798,GROWWEV,GROWWAMC - GROWWEV,31.23,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01KJ4,756086,GROWWMOM50,GROWWAMC - GROWWMOM50,10.46,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01LB9,758300,GROWWLOVOL,GROWWAMC - GROWWLOVOL,10.37,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01JV1,29872,GROWWN200,GROWWAMC - GROWWN200,11.35,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01JJ6,29527,GROWWRAIL,GROWWAMC - GROWWRAIL,35.38,,,0.01,1.0,EQUITY,,NSE_EQ
INF666M01LZ8,759458,GROWWNXT50,GROWWAMC - GROWWNXT50,68.34,,,0.01,1.0,EQUITY,,NSE_EQ
INF582M01KS4,29687,UNIONGOLD,UNIONAMC - UNIONGOLD,117.85,,,0.05,1.0,EQUITY,,NSE_EQ
INF251K01SU9,20547,BBNPPGOLD,BARODABNP - BBNPPGOLD,115.8,,,0.05,1.0,EQUITY,,NSE_EQ
INF251K01TL6,24117,BBNPNBETF,BARODABNP - BBNPNBETF,56.24,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01BL0,8654,MOLOWVOL,MOTILALAMC - MOLOWVOL,37.6,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01BK2,8182,MOMOMENTUM,MOTILALAMC - MOMOMENTUM,62.16,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01AP3,22739,MON100,MOTILAL OS NASDAQ100 ETF,240.61,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01536,19289,MOM50,MOTILAL OSWAL M50 ETF,260.06,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01CI4,23184,MOREALTY,MOTILALAMC - MOREALTY,88.45,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01CH6,23181,MOSMALL250,MOTILALAMC - MOSMALL250,17.05,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01DJ0,24944,MODEFENCE,MOTILALAMC - MODEFENCE,89.51,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01DK8,25606,MOMENTUM50,MOTILALAMC - MOMENTUM50,51.95,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01BU1,19237,MONIFTY500,MOTILALAMC - MONIFTY500,23.61,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01BH8,10822,MOQUALITY,MOTILALAMC - MOQUALITY,194.25,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01BB1,10508,MOHEALTH,MOTILALAMC - MOHEALTH,44.21,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01BE5,10825,MOVALUE,MOTILALAMC - MOVALUE,108.04,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01AK4,1507,MOGSEC,MOTILALAMC - G5,62.31,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01AU3,7422,MONQ50,MOTILALAMC - MONQ50,101.93,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FC0,756900,MON50EQUAL,MOTILALAMC - MON50EQUAL,32.33,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FD8,757167,MONEXT50,MOTILALAMC - MONEXT50,68.24,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FY4,757791,MOGOLD,MOTILALAMC - MOGOLD,118.9,,,0.05,1.0,EQUITY,,NSE_EQ
INF247L01FZ1,758457,MOSILVER,MOTILALAMC - MOSILVER,148.69,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FK3,757099,MOMGF,MOTILALAMC - MOMGF,149.0,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FL1,757031,MOINFRA,MOTILALAMC - MOINFRA,60.96,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FO5,757431,MOPSE,MOTILALAMC - MOPSE,99.79,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FP2,757443,MOTOUR,MOTILALAMC - MOTOUR,88.81,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FQ0,757817,MOMIDMTM,MOTILALAMC - MOMIDMTM,62.0,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01FR8,757669,MOALPHA50,MOTILALAMC - MOALPHA50,50.35,,,0.01,1.0,EQUITY,,NSE_EQ
INF247L01023,21423,MOM100,MOTILAL OS MIDCAP100 ETF,62.36,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01GS9,1200,ESG,MIRAEAMC - MAESGETF,42.62,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01HF4,3507,MAFANG,MIRAEAMC - MAFANG,169.23,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01HI8,5220,BFSI,MIRAEAMC - MAFSETF,27.59,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01HS7,7074,MAHKTECH,MIRAEAMC - MAHKTECH,34.13,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01IB1,7979,MAKEINDIA,MIRAEAMC - MAMFGETF,152.22,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01IC9,8413,MIDCAPETF,MIRAEAMC - MAM150ETF,21.93,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01KF8,14938,GSEC10YEAR,MIRAEAMC - MAGS813ETF,29.35,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01KG6,16777,SILVERAG,MIRAEAMC - MASILVER,146.04,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01KR3,17419,BANKETF,MIRAEAMC - BANKETF,570.41,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01KS1,17572,LIQUID,MIRAEAMC - LIQUID,999.99,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01KT9,19224,SENSEXETF,MIRAEAMC - SENSEXETF,83.59,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01KU7,19640,ALPHAETF,MIRAEAMC - ALPHAETF,24.98,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01KV5,19633,ITETF,MIRAEAMC - ITETF,36.04,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01LJ8,23855,MIDSMALL,MIRAEAMC - MIDSMALL,48.27,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01LQ3,24461,EVINDIA,MIRAEAMC - EVINDIA,31.13,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01LY7,25744,METAL,MIRAEAMC - METAL,10.23,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01LZ4,25725,BANKPSU,MIRAEAMC - BANKPSU,76.23,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01MY5,27075,LIQUIDPLUS,MIRAEAMC - LIQUIDPLUS,1053.6,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01NS5,28969,CONSUMER,MIRAEAMC - CONSUMER,12.11,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01OA1,30121,EQUAL200,MIRAEAMC - EQUAL200,13.16,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01ON4,30109,SELECTIPO,MIRAEAMC - SELECTIPO,48.9,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01OO2,757142,EQUAL50,MIRAEAMC - EQUAL50,323.53,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01PB6,758595,INTERNET,MIRAEAMC - INTERNET,14.54,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01JP9,14286,GOLDETF,MIRAEAMC - MAGOLDETF,116.24,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01JU9,14786,LOWVOL,MIRAEAMC - MANV30F,206.65,,,0.01,1.0,EQUITY,,NSE_EQ
INF769K01EG9,6353,NIFTYETF,MIRAEAMC - MAN50ETF,270.54,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AZE6,22521,NIF5GETF,UTIAMC - NIF5GETF,63.32,,,0.01,1.0,EQUITY,,NSE_EQ
INF789F1AZF3,22524,NIF10GETF,UTIAMC - NIF10GETF,25.82,,,0.01,1.0,EQUITY,,NSE_EQ
INF0R8F01034,21750,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE,110.75,,,0.01,1.0,EQUITY,,NSE_EQ
INF0R8F01042,22901,GOLDCASE,ZERODHAAMC - GOLDCASE,18.83,,,0.01,1.0,EQUITY,,NSE_EQ
INF0R8F01059,24077,MID150CASE,ZERODHAAMC - MID150CASE,10.74,,,0.01,1.0,EQUITY,,NSE_EQ
INF0R8F01067,24081,TOP100CASE,ZERODHAAMC - TOP100CASE,10.73,,,0.01,1.0,EQUITY,,NSE_EQ
INF0R8F01091,30274,SILVERCASE,ZERODHAAMC - SILVERCASE,15.12,,,0.01,1.0,EQUITY,,NSE_EQ
INF0R8F01133,758705,LTGILTCASE,ZERODHAAMC - LTGILTCASE,29.56,,,0.01,1.0,EQUITY,,NSE_EQ
INF0R8F01141,758955,SML100CASE,ZERODHAAMC - SML100CASE,10.08,,,0.01,1.0,EQUITY,,NSE_EQ
INF1J2R01015,29975,AONETOTAL,AONEAMC - AONETOTAL,11.73,,,0.01,1.0,EQUITY,,NSE_EQ
INF1J2R01056,30472,AONELIQUID,AONEAMC - AONELIQUID,1028.56,,,0.01,1.0,EQUITY,,NSE_EQ
INF1J2R01064,757096,AONENIFTY,AONEAMC - AONENIFTY,10.24,,,0.01,1.0,EQUITY,,NSE_EQ
INF1J2R01114,758904,AONEGOLD,AONEAMC - AONEGOLD,11.2,,,0.01,1.0,EQUITY,,NSE_EQ